Country,Year,Encounters
SOUTH AFRICA,1951,5
SOUTH AFRICA,1952,1
SOUTH AFRICA,1953,2
SOUTH AFRICA,1954,1
SOUTH AFRICA,1955,1
SOUTH AFRICA,1956,3
SOUTH AFRICA,1957,6
SOUTH AFRICA,1958,8
SOUTH AFRICA,1959,5
SOUTH AFRICA,1960,9
SOUTH AFRICA,1961,10
SOUTH AFRICA,1962,11
SOUTH AFRICA,1963,11
SOUTH AFRICA,1964,10
SOUTH AFRICA,1965,4
SOUTH AFRICA,1966,4
SOUTH AFRICA,1967,5
SOUTH AFRICA,1968,5
SOUTH AFRICA,1970,1
SOUTH AFRICA,1971,4
SOUTH AFRICA,1972,4
SOUTH AFRICA,1973,4
SOUTH AFRICA,1974,11
SOUTH AFRICA,1975,10
SOUTH AFRICA,1976,12
SOUTH AFRICA,1977,7
SOUTH AFRICA,1978,8
SOUTH AFRICA,1979,7
SOUTH AFRICA,1980,11
SOUTH AFRICA,1981,8
SOUTH AFRICA,1982,8
SOUTH AFRICA,1983,14
SOUTH AFRICA,1984,12
SOUTH AFRICA,1985,9
SOUTH AFRICA,1986,13
SOUTH AFRICA,1987,7
SOUTH AFRICA,1988,9
SOUTH AFRICA,1989,9
SOUTH AFRICA,1990,6
SOUTH AFRICA,1991,2
SOUTH AFRICA,1992,3
SOUTH AFRICA,1993,2
SOUTH AFRICA,1994,9
SOUTH AFRICA,1995,3
SOUTH AFRICA,1996,4
SOUTH AFRICA,1997,4
SOUTH AFRICA,1998,19
SOUTH AFRICA,1999,6
SOUTH AFRICA,2e3,5
SOUTH AFRICA,2001,3
SOUTH AFRICA,2002,5
SOUTH AFRICA,2003,7
SOUTH AFRICA,2004,10
SOUTH AFRICA,2005,9
SOUTH AFRICA,2006,12
SOUTH AFRICA,2007,3
SOUTH AFRICA,2008,8
SOUTH AFRICA,2009,12
SOUTH AFRICA,2010,7
SOUTH AFRICA,2011,12
SOUTH AFRICA,2012,5
SOUTH AFRICA,2013,8
SOUTH AFRICA,2014,6
SOUTH AFRICA,2015,10
SOUTH AFRICA,2016,4
SOUTH AFRICA,2017,7
SOUTH AFRICA,2018,4
SOUTH ATLANTIC OCEAN,1872,1
SOUTH ATLANTIC OCEAN,1878,2
SOUTH ATLANTIC OCEAN,1893,1
SOUTH ATLANTIC OCEAN,1926,1
SOUTH ATLANTIC OCEAN,1941,6
SOUTH ATLANTIC OCEAN,1962,1
SOUTH CHINA SEA,1979,1
SOUTH KOREA,1959,1
SOUTH KOREA,1981,1
SOUTH KOREA,1986,1
SOUTH KOREA,1988,1
SOUTH KOREA,1995,1
SOUTH KOREA,1996,1
SOUTH KOREA,2005,1
SOUTH KOREA,2010,1
SOUTH PACIFIC OCEAN,1944,1
SOUTH PACIFIC OCEAN,1965,1
SOUTHWEST PACIFIC OCEAN,1942,2
SPAIN,1764,1
SPAIN,1819,1
SPAIN,1836,1
SPAIN,1862,5
SPAIN,1864,1
SPAIN,1879,1
SPAIN,1908,2
SPAIN,1909,1
SPAIN,1911,1
SPAIN,1912,1
SPAIN,1916,1
SPAIN,1924,1
SPAIN,1925,1
SPAIN,1926,1
SPAIN,1929,1
SPAIN,1930,1
SPAIN,1962,1
SPAIN,1970,1
SPAIN,1980,1
SPAIN,1986,2
SPAIN,1993,1
SPAIN,2006,1
SPAIN,2009,1
SPAIN,2010,1
SPAIN,2013,1
SPAIN,2014,4
SPAIN,2015,2
SPAIN,2016,2
SPAIN,2017,4
SRI LANKA,1817,2
SRI LANKA,1871,1
SRI LANKA,1896,1
SRI LANKA,1898,1
SRI LANKA,1939,1
SRI LANKA,1950,2
SRI LANKA,1957,1
SRI LANKA,1960,2
SRI LANKA,1970,1
SRI LANKA,2004,1
"ST HELENA, British overseas territory",2017,2
ST. MAARTIN,2005,1
ST. MARTIN,2014,1
SUDAN,1952,1
SUDAN,1966,1
SUDAN?,1954,1
SWEDEN,1755,1
SYRIA,1880,1
TAIWAN,1958,1
TAIWAN,1964,2
TAIWAN,1966,2
TAIWAN,2008,1
TAIWAN,2009,1
TAIWAN,2012,1
TAIWAN,2013,1
TANZANIA,1946,1
TANZANIA,1961,1
TANZANIA,1968,1
TANZANIA,2e3,5
TASMAN SEA,1835,1
THAILAND,1966,1
THAILAND,1979,1
THAILAND,2e3,1
THAILAND,2001,1
THAILAND,2005,1
THAILAND,2015,1
THAILAND,2018,2
THE BALKANS,1954,1
TOBAGO,1815,1
TOBAGO,1858,1
TONGA,1852,1
TONGA,1858,1
TONGA,1931,1
TONGA,1958,1
TONGA,1967,1
TONGA,1980,1
TONGA,1993,3
TONGA,1995,2
TONGA,2e3,1
TONGA,2002,1
TONGA,2004,2
TONGA,2006,1
TONGA,2010,1
TONGA,2012,1
TRINIDAD & TOBAGO,1938,1
TRINIDAD & TOBAGO,2012,1
TRINIDAD & TOBAGO,2014,1
TUNISIA,1909,1
TUNISIA,1982,2
TURKEY,1848,1
TURKEY,1929,1
TURKEY,1930,1
TURKEY,1931,1
TURKEY,1934,1
TURKEY,1937,1
TURKEY,1938,1
TURKEY,1958,1
TURKEY,1959,1
TURKEY,1962,1
TURKEY,1967,1
TURKEY,1971,1
TURKS & CAICOS,2002,2
TURKS & CAICOS,2007,1
TURKS & CAICOS,2011,2
TUVALU,1874,1
UNITED ARAB EMIRATES,2016,1
UNITED ARAB EMIRATES,2017,1
UNITED ARAB EMIRATES (UAE),2010,1
UNITED ARAB EMIRATES (UAE),2011,1
UNITED KINGDOM,1935,1
UNITED KINGDOM,1954,1
UNITED KINGDOM,1956,2
UNITED KINGDOM,1967,1
UNITED KINGDOM,2001,1
UNITED KINGDOM,2002,1
UNITED KINGDOM,2008,1
UNITED KINGDOM,2009,1
UNITED KINGDOM,2011,1
UNITED KINGDOM,2017,1
URUGUAY,1883,1
URUGUAY,2004,1
USA,1642,1
USA,1751,1
USA,1771,1
USA,1779,1
USA,1780,1
USA,1803,1
USA,1805,1
USA,1810,1
USA,1816,1
USA,1817,1
USA,1828,1
USA,1829,1
USA,1830,1
USA,1831,1
USA,1837,3
USA,1840,1
USA,1842,2
USA,1845,2
USA,1847,4
USA,1848,2
USA,1849,2
USA,1850,1
USA,1851,2
USA,1852,2
USA,1853,5
USA,1855,1
USA,1857,1
USA,1858,3
USA,1859,1
USA,1860,1
USA,1862,1
USA,1863,2
USA,1864,2
USA,1865,2
USA,1866,1
USA,1870,1
USA,1871,2
USA,1872,1
USA,1873,1
USA,1874,2
USA,1876,2
USA,1878,3
USA,1879,2
USA,1880,2
USA,1881,4
USA,1882,1
USA,1883,5
USA,1884,2
USA,1885,3
USA,1886,4
USA,1887,1
USA,1888,1
USA,1889,4
USA,1890,2
USA,1891,2
USA,1892,1
USA,1894,8
USA,1895,3
USA,1896,4
USA,1897,4
USA,1898,6
USA,1899,4
USA,1900,6
USA,1901,1
USA,1902,3
USA,1903,2
USA,1904,4
USA,1905,6
USA,1906,7
USA,1907,5
USA,1908,4
USA,1909,6
USA,1910,3
USA,1911,8
USA,1912,2
USA,1913,6
USA,1914,5
USA,1915,2
USA,1916,12
USA,1917,4
USA,1918,1
USA,1919,4
USA,1920,2
USA,1922,6
USA,1923,3
USA,1924,4
USA,1925,5
USA,1926,5
USA,1927,1
USA,1928,7
USA,1929,5
USA,1930,4
USA,1931,11
USA,1932,5
USA,1933,7
USA,1934,2
USA,1935,5
USA,1936,7
USA,1937,3
USA,1938,4
USA,1939,4
USA,1940,3
USA,1941,6
USA,1942,1
USA,1943,7
USA,1944,3
USA,1945,2
USA,1947,3
USA,1948,5
USA,1949,2
USA,1950,9
USA,1951,2
USA,1952,11
USA,1953,11
USA,1954,9
USA,1955,13
USA,1956,9
USA,1957,10
USA,1958,15
USA,1959,27
USA,1960,25
USA,1961,17
USA,1962,21
USA,1963,11
USA,1964,14
USA,1965,14
USA,1966,16
USA,1967,9
USA,1968,15
USA,1969,15
USA,1970,9
USA,1971,5
USA,1972,9
USA,1973,4
USA,1974,13
USA,1975,20
USA,1976,18
USA,1977,8
USA,1978,9
USA,1979,9
USA,1980,9
USA,1981,27
USA,1982,22
USA,1983,22
USA,1984,21
USA,1985,21
USA,1986,15
USA,1987,15
USA,1988,26
USA,1989,25
USA,1990,20
USA,1991,22
USA,1992,24
USA,1993,22
USA,1994,24
USA,1995,49
USA,1996,27
USA,1997,28
USA,1998,26
USA,1999,36
USA,2e3,52
USA,2001,58
USA,2002,49
USA,2003,57
USA,2004,35
USA,2005,52
USA,2006,54
USA,2007,66
USA,2008,60
USA,2009,41
USA,2010,40
USA,2011,48
USA,2012,64
USA,2013,60
USA,2014,66
USA,2015,73
USA,2016,64
USA,2017,65
USA,2018,36
VANUATU,1835,1
VANUATU,1961,1
VANUATU,1965,1
VANUATU,1978,1
VANUATU,1983,1
VANUATU,1984,1
VANUATU,1985,1
VANUATU,1987,1
VANUATU,1992,1
VANUATU,1994,1
VANUATU,2004,1
VANUATU,2005,1
VENEZUELA,1543,1
VENEZUELA,1939,1
VENEZUELA,1959,1
VENEZUELA,1971,2
VENEZUELA,1995,1
VENEZUELA,2003,1
VENEZUELA,2004,2
VENEZUELA,2005,1
VIETNAM,1868,1
VIETNAM,1907,1
VIETNAM,1936,1
VIETNAM,2009,4
VIETNAM,2010,6
WEST INDIES,1840,1
WEST INDIES,1898,1
WESTERN SAMOA,1972,1
YEMEN,1895,1
YEMEN,1897,1
YEMEN,1898,3
YEMEN,1901,1
YEMEN,1906,1
YEMEN,1955,1
YEMEN,2007,1
